adsorbate,surface,reaction energy (eV),site,S. designation
C,Ag12,6.984898424,top|A,A1
C,Ag12,5.667144574,hollow|A_A_A|HCP,A1
C,Ag12,5.608978745,hollow|A_A_A|FCC,A1
C,Au12,6.525164134,top|A,A1
C,Au12,4.896599954,hollow|A_A_A|HCP,A1
C,Au12,4.7414235,hollow|A_A_A|FCC,A1
C,Cd12,5.363709208,hollow|A_A_A|HCP,A1
C,Cd12,5.458832723,hollow|A_A_A|FCC,A1
C,Co12,3.999846213,top|A,A1
C,Co12,2.106999494,hollow|A_A_A|HCP,A1
C,Co12,2.292815966,hollow|A_A_A|FCC,A1
C,Cr12,3.640320566,top|A,A1
C,Cr12,1.070740336,hollow|A_A_A|HCP,A1
C,Cr12,0.977673185,hollow|A_A_A|FCC,A1
C,Cu12,5.956332468,top|A,A1
C,Cu12,4.163048937,hollow|A_A_A|HCP,A1
C,Cu12,4.110073135,hollow|A_A_A|FCC,A1
C,Fe12,2.313202599,hollow|A_A_A|FCC,A1
C,Hf12,4.407675196,top|A,A1
C,Hf12,0.950402208,hollow|A_A_A|HCP,A1
C,Hf12,1.11796093,hollow|A_A_A|FCC,A1
C,Ir12,3.426523308,top|A,A1
C,Ir12,1.88966081,hollow|A_A_A|HCP,A1
C,Ir12,2.244876583,hollow|A_A_A|FCC,A1
C,La12,4.97246502,top|A,A1
C,La12,1.839902482,hollow|A_A_A|HCP,A1
C,La12,2.209523281,hollow|A_A_A|FCC,A1
C,Mo12,4.001872917,top|A,A1
C,Mo12,1.134830764,hollow|A_A_A|HCP,A1
C,Mo12,1.083346689,hollow|A_A_A|FCC,A1
C,Nb12,4.033442748,top|A,A1
C,Nb12,0.910632907,hollow|A_A_A|HCP,A1
C,Nb12,0.728154183,hollow|A_A_A|FCC,A1
C,Os12,3.698386258,top|A,A1
C,Os12,1.677095004,hollow|A_A_A|HCP,A1
C,Os12,2.301708782,hollow|A_A_A|FCC,A1
C,Pd12,4.826180566,top|A,A1
C,Pd12,2.504732645,hollow|A_A_A|HCP,A1
C,Pd12,2.559051602,hollow|A_A_A|FCC,A1
C,Pt12,4.140889346,top|A,A1
C,Pt12,2.306027909,hollow|A_A_A|HCP,A1
C,Pt12,2.222465831,hollow|A_A_A|FCC,A1
C,Re12,4.02485606,top|A,A1
C,Re12,1.382594223,hollow|A_A_A|HCP,A1
C,Re12,1.640166843,hollow|A_A_A|FCC,A1
C,Rh12,3.724234623,top|A,A1
C,Rh12,1.926347062,hollow|A_A_A|HCP,A1
C,Rh12,2.219680338,hollow|A_A_A|FCC,A1
C,Ru12,3.567144257,top|A,A1
C,Ru12,1.59930963,hollow|A_A_A|HCP,A1
C,Ru12,2.166237452,hollow|A_A_A|FCC,A1
C,Sc12,4.55285514,top|A,A1
C,Sc12,1.560266056,hollow|A_A_A|HCP,A1
C,Sc12,1.980335128,hollow|A_A_A|FCC,A1
C,Ta12,4.260301334,top|A,A1
C,Ta12,0.752288639,hollow|A_A_A|HCP,A1
C,Ta12,0.439420039,hollow|A_A_A|FCC,A1
C,Tc12,3.723349165,top|A,A1
C,Tc12,1.396295019,hollow|A_A_A|HCP,A1
C,Tc12,1.716465658,hollow|A_A_A|FCC,A1
C,Ti12,3.803851867,top|A,A1
C,Ti12,1.288465013,hollow|A_A_A|HCP,A1
C,Ti12,1.310324189,hollow|A_A_A|FCC,A1
C,V12,3.602374699,top|A,A1
C,V12,1.008863553,hollow|A_A_A|HCP,A1
C,V12,0.88328084,hollow|A_A_A|FCC,A1
C,W12,4.075780532,top|A,A1
C,W12,0.721671343,hollow|A_A_A|HCP,A1
C,W12,0.561387312,hollow|A_A_A|FCC,A1
C,Y12,5.033120555,top|A,A1
C,Y12,1.796520869,hollow|A_A_A|HCP,A1
C,Y12,2.20871415,hollow|A_A_A|FCC,A1
C,Zn12,6.115356067,top|A,A1
C,Zn12,4.489099412,hollow|A_A_A|FCC,A1
C,Zr12,4.374206827,top|A,A1
C,Zr12,1.262184122,hollow|A_A_A|HCP,A1
C,Zr12,1.282841508,hollow|A_A_A|FCC,A1
H,Ag12,0.844867346,top|A,A1
H,Ag12,0.462215151,bridge|A_A|A,A1
H,Ag12,0.355347475,hollow|A_A_A|HCP,A1
H,Ag12,0.338155323,hollow|A_A_A|FCC,A1
H,Au12,0.534248174,top|A,A1
H,Au12,0.39593203,bridge|A_A|A,A1
H,Au12,0.371106676,hollow|A_A_A|HCP,A1
H,Au12,0.322403197,hollow|A_A_A|FCC,A1
H,Cd12,0.966015964,top|A,A1
H,Cd12,0.839368333,bridge|A_A|A,A1
H,Cd12,0.87136171,hollow|A_A_A|HCP,A1
H,Cd12,0.825439234,hollow|A_A_A|FCC,A1
H,Co12,-0.108293689,bridge|A_A|A,A1
H,Co12,-0.245903834,hollow|A_A_A|HCP,A1
H,Co12,-0.448717897,hollow|A_A_A|FCC,A1
H,Cr12,0.125528427,top|A,A1
H,Cr12,-0.877451345,hollow|A_A_A|HCP,A1
H,Cr12,-0.878578305,hollow|A_A_A|FCC,A1
H,Cu12,0.520936638,top|A,A1
H,Cu12,0.084552981,bridge|A_A|A,A1
H,Cu12,-0.039638823,hollow|A_A_A|HCP,A1
H,Cu12,-0.053560439,hollow|A_A_A|FCC,A1
H,Fe12,-0.38302948,top|A,A1
H,Fe12,-0.956848585,hollow|A_A_A|HCP,A1
H,Fe12,-0.644186927,hollow|A_A_A|FCC,A1
H,Hf12,0.283894463,top|A,A1
H,Hf12,-0.742009131,bridge|A_A|A,A1
H,Hf12,-0.990286206,hollow|A_A_A|HCP,A1
H,Hf12,-0.996874898,hollow|A_A_A|FCC,A1
H,Ir12,-0.324119827,top|A,A1
H,Ir12,-0.121203722,bridge|A_A|A,A1
H,Ir12,-0.111492251,hollow|A_A_A|HCP,A1
H,Ir12,-0.157797318,hollow|A_A_A|FCC,A1
H,La12,0.387234727,top|A,A1
H,La12,-0.417776649,bridge|A_A|A,A1
H,La12,-0.687573846,hollow|A_A_A|HCP,A1
H,La12,-0.671628928,hollow|A_A_A|FCC,A1
H,Mo12,0.150029421,top|A,A1
H,Mo12,-0.989087,hollow|A_A_A|HCP,A1
H,Mo12,-0.7747315,hollow|A_A_A|FCC,A1
H,Nb12,0.122014893,top|A,A1
H,Nb12,-0.943553103,hollow|A_A_A|HCP,A1
H,Nb12,-0.873487191,hollow|A_A_A|FCC,A1
H,Os12,-0.065029765,top|A,A1
H,Os12,-0.168578605,bridge|A_A|A,A1
H,Os12,-0.228759573,hollow|A_A_A|HCP,A1
H,Os12,-0.258513453,hollow|A_A_A|FCC,A1
