adsorbate,surface,reaction energy (eV),site,S. designation,ads_site,ads_indices,ads+neighbors_site,ads+neighbors_indices,CN,GCN,lattice_constant_alloy,molar_volume_alloy,EN_alloy,IE_alloy,EA_alloy,Sublimation Energy,Valence Electrons,Beta
C,Ag12,6.984898424,top|A,A1,['Ag'],[9],"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
C,Ag12,5.667144574,hollow|A_A_A|HCP,A1,"['Ag', 'Ag', 'Ag']","[10, 11, 12]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
C,Ag12,5.608978745,hollow|A_A_A|FCC,A1,"['Ag', 'Ag', 'Ag']","[9, 10, 11]","['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,408.53,10.27,1.93,7.576234,1.302,266.3,11,0.5
C,Au12,6.525164134,top|A,A1,['Au'],[9],"['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
C,Au12,4.896599954,hollow|A_A_A|HCP,A1,"['Au', 'Au', 'Au']","[10, 11, 12]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
C,Au12,4.7414235,hollow|A_A_A|FCC,A1,"['Au', 'Au', 'Au']","[9, 10, 11]","['Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au', 'Au']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,407.82,10.21,2.54,9.225554,2.30863,342.5,11,0.5
C,Cd12,5.363709208,hollow|A_A_A|HCP,A1,"['Cd', 'Cd', 'Cd']","[10, 11, 12]","['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0
C,Cd12,5.458832723,hollow|A_A_A|FCC,A1,"['Cd', 'Cd', 'Cd']","[9, 10, 11]","['Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd', 'Cd']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,297.94,13.0,1.69,8.99382,0.0,106.3,12,1.0
C,Co12,3.999846213,top|A,A1,['Co'],[9],"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 7, 8, 9, 10, 11, 12]",1,7.5,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0
C,Co12,2.106999494,hollow|A_A_A|HCP,A1,"['Co', 'Co', 'Co']","[9, 11, 12]","['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 7, 8, 9, 10, 11, 12]",3,7.5,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0
C,Co12,2.292815966,hollow|A_A_A|FCC,A1,"['Co', 'Co', 'Co']","[9, 10, 11]","['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[5, 6, 7, 8, 9, 10, 11, 12]",3,6.954545454545454,250.71,6.67,1.88,7.88101,0.662,391.2,9,1.0
